State,Date,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
QLD,01-Jan-17,Pedestrian,No,No,No,50,Pedestrian,Female,64
WA,01-Jan-17,Single,No,No,No,100,Motorcycle rider,Male,21
WA,01-Jan-17,Single,No,No,No,70,Driver,Male,25
NSW,02-Jan-17,Single,No,No,No,50,Driver,Male,28
NSW,02-Jan-17,Multiple,No,No,No,80,Motorcycle rider,Male,26
QLD,02-Jan-17,Pedestrian,No,No,No,100,Pedestrian,Female,30
WA,02-Jan-17,Single,No,No,No,110,Driver,Male,24
NSW,03-Jan-17,Multiple,No,Yes,Yes,100,Driver,Male,29
NSW,03-Jan-17,Multiple,No,Yes,Yes,100,Driver,Male,52
QLD,03-Jan-17,Multiple,No,No,No,100,Driver,Male,74
WA,03-Jan-17,Single,No,No,No,70,Motorcycle rider,Male,23
QLD,04-Jan-17,Multiple,No,No,No,100,Motorcycle rider,Male,69
NSW,05-Jan-17,Pedestrian,No,No,Yes,60,Pedestrian,Male,56
VIC,05-Jan-17,Multiple,No,No,No,100,Driver,Male,44
VIC,06-Jan-17,Multiple,No,No,No,100,Passenger,Female,17
QLD,06-Jan-17,Single,No,No,No,100,Driver,Male,24
QLD,06-Jan-17,Multiple,No,No,No,50,Passenger,Male,19
NSW,07-Jan-17,Multiple,No,No,No,100,Driver,Female,19
WA,08-Jan-17,Single,No,No,No,0,Driver,Male,89
NSW,09-Jan-17,Single,No,No,No,70,Driver,Female,71
VIC,09-Jan-17,Single,No,No,No,50,Passenger,Female,96
NSW,10-Jan-17,Multiple,No,No,No,100,Driver,Female,20
QLD,10-Jan-17,Pedestrian,No,Yes,Yes,100,Pedestrian,Male,34
QLD,10-Jan-17,Single,No,No,No,50,Motorcycle rider,Male,31
SA,10-Jan-17,Multiple,No,No,No,100,Driver,Female,81
NSW,11-Jan-17,Single,No,No,No,100,Driver,Male,23
VIC,11-Jan-17,Single,No,No,No,100,Driver,Male,26
VIC,11-Jan-17,Multiple,No,No,Yes,100,Other/unknown,Female,61
SA,11-Jan-17,Pedestrian,No,No,No,50,Pedestrian,Female,45
WA,11-Jan-17,Single,No,No,No,80,Passenger,Male,10
NSW,12-Jan-17,Single,No,No,No,100,Driver,Male,29
VIC,12-Jan-17,Multiple,No,Yes,No,0,Motorcycle rider,Female,45
QLD,12-Jan-17,Single,No,No,No,80,Driver,Male,41
QLD,12-Jan-17,Multiple,No,No,No,60,Passenger,Female,70
NSW,13-Jan-17,Single,No,No,No,50,Driver,Male,91
NSW,13-Jan-17,Single,No,No,No,100,Driver,Male,84
VIC,13-Jan-17,Single,No,No,No,100,Passenger,Female,3
QLD,13-Jan-17,Single,No,No,No,80,Motorcycle rider,Male,50
QLD,13-Jan-17,Single,No,No,No,50,Motorcycle rider,Female,59
QLD,13-Jan-17,Single,No,No,No,80,Motorcycle rider,Male,41
SA,13-Jan-17,Multiple,No,Yes,No,110,Driver,Male,62
WA,13-Jan-17,Single,No,No,No,90,Driver,Male,36
TAS,13-Jan-17,Multiple,No,No,No,60,Motorcycle rider,Male,42
TAS,13-Jan-17,Single,No,No,No,100,Motorcycle rider,Male,46
