StateFormated,DateFormated,TimeFormated,Crash_TypeFormated,Bus_InvolvementFormated,Heavy_Rigid_Truck_InvolvementFormated,Speed_LimitFormated,Road_UserFormated,GenderFormated,AgeFormated
4,42736,2,2,1,1,50,7,1,64
8,42736,0.69,3,1,1,100,4,2,21
8,42736,0.72,3,1,1,70,2,2,25
2,42737,0.76,3,1,1,50,2,2,28
2,42737,0.55,1,1,1,80,4,2,26
4,42737,0.13,2,1,1,100,7,1,30
8,42737,0.77,3,1,1,110,2,2,24
2,42738,0.59,1,1,2,100,2,2,29
2,42738,0.59,1,1,2,100,2,2,52
4,42738,0.67,1,1,1,100,2,2,74
8,42738,0.64,3,1,1,70,4,2,23
4,42739,0.79,1,1,1,100,4,2,69
2,42740,0.43,2,1,1,60,7,2,56
7,42740,0.73,1,1,1,100,2,2,44
7,42741,0.71,1,1,1,100,6,1,17
4,42741,0.04,3,1,1,100,2,2,24
4,42741,0.79,1,1,1,50,6,2,19
2,42742,0.54,1,1,1,100,2,1,19
8,42743,0.43,3,1,1,1,2,2,89
2,42744,0.45,3,1,1,70,2,1,71
7,42744,0.65,3,1,1,50,6,1,96
2,42745,0.6,1,1,1,100,2,1,20
4,42745,0.5,2,1,2,100,7,2,34
4,42745,0.92,3,1,1,50,4,2,31
5,42745,0.39,1,1,1,100,2,1,81
2,42746,0.9,3,1,1,100,2,2,23
7,42746,0.16,3,1,1,100,2,2,26
7,42746,0.6,1,1,1,100,5,1,61
5,42746,0.88,2,1,1,50,7,1,45
8,42746,0.77,3,1,1,80,6,2,10
2,42747,0.91,3,1,1,100,2,2,29
7,42747,0.37,1,1,2,1,4,1,45
4,42747,0,3,1,1,80,2,2,41
4,42747,0.63,1,1,1,60,6,1,70
2,42748,0.6,3,1,1,50,2,2,91
2,42748,0.75,3,1,1,100,2,2,84
7,42748,0.7,3,1,1,100,6,1,3
4,42748,0.75,3,1,1,80,4,2,50
4,42748,0.92,3,1,1,50,4,1,59
4,42748,0.92,3,1,1,80,4,2,41
5,42748,0.01,1,1,2,110,2,2,62
8,42748,0.73,3,1,1,90,2,2,36
6,42748,0.67,1,1,1,60,4,2,42
6,42748,0.79,3,1,1,100,4,2,46
7,42749,0.02,3,1,1,60,6,2,19
7,42750,0.7,1,1,1,100,6,1,38
2,42751,0.11,2,1,2,60,7,1,48
7,42751,0.33,2,1,1,60,7,1,53
4,42751,0.71,1,1,1,80,6,1,67
4,42751,0.75,3,1,1,70,2,2,61
8,42751,0.06,3,1,2,50,2,2,48
2,42752,0.74,1,1,1,80,4,2,60
7,42752,0.67,1,1,1,110,2,1,79
2,42753,0.55,1,1,1,60,2,1,54
2,42753,0.55,1,1,1,60,6,1,75
2,42753,0.55,1,1,1,60,6,2,79
8,42753,0.22,3,1,1,110,2,2,24
3,42753,0.71,1,1,1,110,2,2,17
3,42753,0.71,1,1,1,110,6,1,66
2,42755,0.9,3,1,1,100,2,2,36
2,42756,0.73,1,1,1,70,4,2,22
7,42756,0.7,1,1,1,60,4,2,75
4,42756,0.25,1,1,1,100,4,2,40
4,42756,0.58,1,1,1,90,6,1,52
4,42756,0.58,1,1,1,90,6,1,21
2,42757,0.93,3,1,1,100,2,2,18
